Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Bathyraja spinicauda,Chordata,Elasmobranchii,Rajiformes,Rajidae,,105868,exact,urn:lsid:marinespecies.org:taxname:105868,Bathyraja spinicauda,105868,Bathyraja spinicauda
Bathysaurus ferox,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,126369,exact,urn:lsid:marinespecies.org:taxname:126369,Bathysaurus ferox,126369,Bathysaurus ferox
Bathysaurus mollis,Chordata,Actinopterygii,Aulopiformes,Synodontidae,,126370,exact,urn:lsid:marinespecies.org:taxname:126370,Bathysaurus mollis,126370,Bathysaurus mollis
Bathytroctes michaelsarsi,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,126692,exact,urn:lsid:marinespecies.org:taxname:126692,Bathytroctes michaelsarsi,126692,Bathytroctes michaelsarsi
Bathytroctes microlepis,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,126693,exact,urn:lsid:marinespecies.org:taxname:126693,Bathytroctes microlepis,126693,Bathytroctes microlepis
Benthalbella infans,Chordata,Actinopterygii,Aulopiformes,Scopelarchidae,,126365,exact,urn:lsid:marinespecies.org:taxname:126365,Benthalbella infans,126365,Benthalbella infans
Benthodesmus simonyi,Chordata,Actinopterygii,Perciformes,Trichiuridae,,127087,exact,urn:lsid:marinespecies.org:taxname:127087,Benthodesmus simonyi,127087,Benthodesmus simonyi
Benthodesmus tenuis,Chordata,Actinopterygii,Perciformes,Trichiuridae,,159834,exact,urn:lsid:marinespecies.org:taxname:159834,Benthodesmus tenuis,159834,Benthodesmus tenuis
Benthosema glaciale,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,126580,exact,urn:lsid:marinespecies.org:taxname:126580,Benthosema glaciale,126580,Benthosema glaciale
Benthosema suborbitale,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,126581,exact,urn:lsid:marinespecies.org:taxname:126581,Benthosema suborbitale,126581,Benthosema suborbitale
Beryx decadactylus,Chordata,Actinopterygii,Beryciformes,Berycidae,,126394,exact,urn:lsid:marinespecies.org:taxname:126394,Beryx decadactylus,126394,Beryx decadactylus
Beryx splendens,Chordata,Actinopterygii,Beryciformes,Berycidae,,126395,exact,urn:lsid:marinespecies.org:taxname:126395,Beryx splendens,126395,Beryx splendens
Bolinichthys photothorax,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,158886,exact,urn:lsid:marinespecies.org:taxname:158886,Bolinichthys photothorax,158886,Bolinichthys photothorax
Bonapartia pedaliota,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,127281,exact,urn:lsid:marinespecies.org:taxname:127281,Bonapartia pedaliota,322499,Zaphotias pedaliotus
Botaurus lentiginosus,Chordata,Aves,Ciconiiformes,Ardeidae,,159839,exact,urn:lsid:marinespecies.org:taxname:159839,Botaurus lentiginosus,159839,Botaurus lentiginosus
Bothus ocellatus,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,,159275,exact,urn:lsid:marinespecies.org:taxname:159275,Bothus ocellatus,159275,Bothus ocellatus
Brama brama,Chordata,Actinopterygii,Perciformes,Bramidae,,126783,exact,urn:lsid:marinespecies.org:taxname:126783,Brama brama,126783,Brama brama
Branta bernicla,Chordata,Aves,Anseriformes,Anatidae,,159175,exact,urn:lsid:marinespecies.org:taxname:159175,Branta bernicla,159175,Branta bernicla
Branta canadensis,Chordata,Aves,Anseriformes,Anatidae,,159176,exact,urn:lsid:marinespecies.org:taxname:159176,Branta canadensis,159176,Branta canadensis
Branta leucopsis,Chordata,Aves,Anseriformes,Anatidae,,159177,exact,urn:lsid:marinespecies.org:taxname:159177,Branta leucopsis,159177,Branta leucopsis
Bregmaceros sp.,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,,125727,exact,urn:lsid:marinespecies.org:taxname:125727,Bregmaceros,125727,Bregmaceros
Brevoortia tyrannus,Chordata,Actinopterygii,Clupeiformes,Clupeidae,,158691,exact,urn:lsid:marinespecies.org:taxname:158691,Brevoortia tyrannus,158691,Brevoortia tyrannus
Brosme brosme,Chordata,Actinopterygii,Gadiformes,Lotidae,,126447,exact,urn:lsid:marinespecies.org:taxname:126447,Brosme brosme,126447,Brosme brosme
Brotula barbata,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,159067,exact,urn:lsid:marinespecies.org:taxname:159067,Brotula barbata,159067,Brotula barbata
Bryx dunckeri,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,,159444,exact,urn:lsid:marinespecies.org:taxname:159444,Bryx dunckeri,159444,Bryx dunckeri
Bubulcus ibis,Chordata,Aves,Ciconiiformes,Ardeidae,,159742,exact,urn:lsid:marinespecies.org:taxname:159742,Bubulcus ibis,159742,Bubulcus ibis
Bucephala albeola,Chordata,Aves,Anseriformes,Anatidae,,159179,exact,urn:lsid:marinespecies.org:taxname:159179,Bucephala albeola,159179,Bucephala albeola
Bucephala clangula,Chordata,Aves,Anseriformes,Anatidae,,159197,exact,urn:lsid:marinespecies.org:taxname:159197,Bucephala clangula,159197,Bucephala clangula
Bucephala islandica,Chordata,Aves,Anseriformes,Anatidae,,159198,exact,urn:lsid:marinespecies.org:taxname:159198,Bucephala islandica,159198,Bucephala islandica
Buteo jamaicensis,Chordata,Aves,Ciconiiformes,Accipitridae,,159109,exact,urn:lsid:marinespecies.org:taxname:159109,Buteo jamaicensis,159109,Buteo jamaicensis
